city,region,postings,home_office_postings,postings_with_salary,median_salary_from
Berlin,BERLIN,37,8,4,60000
Frankfurt am Main,HESSEN,25,5,2,64500
Hamburg,HAMBURG,24,9,1,80000
Berlin,,22,2,0,
Köln,NORDRHEIN_WESTFALEN,19,2,2,54000
München,BAYERN,16,3,1,60000
München,,15,0,0,
Dresden,SACHSEN,14,2,1,75000
Düsseldorf,NORDRHEIN_WESTFALEN,13,1,3,70000
Stuttgart,BADEN_WUERTTEMBERG,13,3,0,
Erlangen,BAYERN,11,0,3,70000
Unknown,,11,2,1,70000
"Essen, Ruhr",NORDRHEIN_WESTFALEN,9,2,0,
Leipzig,SACHSEN,9,1,0,
"Nürnberg, Mittelfranken",BAYERN,9,1,1,50000
Donauwörth,BAYERN,8,0,3,56000
Bonn,NORDRHEIN_WESTFALEN,7,1,0,
Köln,,7,0,0,
Munich,,7,0,0,
Hamburg,,6,0,0,
"Karlsruhe, Baden",BADEN_WUERTTEMBERG,6,0,3,70000
Burgwedel,NIEDERSACHSEN,5,2,0,
Duisburg,NORDRHEIN_WESTFALEN,5,0,2,62500
Hannover,NIEDERSACHSEN,5,3,0,
Mannheim,BADEN_WUERTTEMBERG,5,0,1,70000
"Münster, Westfalen",NORDRHEIN_WESTFALEN,5,3,0,
"Berlin, Germany",,4,0,0,
Osnabrück,NIEDERSACHSEN,4,1,2,59500
"Ulm, Donau",BADEN_WUERTTEMBERG,4,1,0,
"Berlin, Berlin",,3,0,0,
"Chemnitz, Sachsen",SACHSEN,3,1,0,
"Eschborn, Taunus",HESSEN,3,0,0,
Frankfurt am Main,,3,1,0,
"Hemmingen, Württemberg",BADEN_WUERTTEMBERG,3,1,0,
"Kassel, Hessen",HESSEN,3,1,0,
Oberkochen,BADEN_WUERTTEMBERG,3,0,2,70000
Oldenburg (Oldb),NIEDERSACHSEN,3,1,1,65000
Potsdam,BRANDENBURG,3,1,0,
Stuttgart,,3,0,0,
Würzburg,BAYERN,3,0,0,
"Augsburg, Bayern",BAYERN,2,0,1,
"Berlin, Berlin, Deutschland",,2,0,0,
"Berlin, Berlin, Germany",,2,0,0,
Bielefeld,NORDRHEIN_WESTFALEN,2,0,1,45000
Bremen,BREMEN,2,0,0,
Böblingen,BADEN_WUERTTEMBERG,2,1,1,93050
Coburg,BAYERN,2,1,0,
Coesfeld,NORDRHEIN_WESTFALEN,2,1,0,
Dortmund,NORDRHEIN_WESTFALEN,2,0,0,
"Düsseldorf, North Rhine-Westphalia",,2,0,0,
Erfurt,THUERINGEN,2,2,0,
Espelkamp,NORDRHEIN_WESTFALEN,2,1,0,
"Essenbach, Niederbayern",BAYERN,2,0,0,
"Gießen, Lahn",HESSEN,2,1,0,
Göttingen,NIEDERSACHSEN,2,0,0,
Kiel,SCHLESWIG_HOLSTEIN,2,1,1,40000
Leinfelden-Echterdingen,BADEN_WUERTTEMBERG,2,0,1,60000
Leipzig,,2,1,0,
Lemwerder,NIEDERSACHSEN,2,0,1,70000
Leverkusen,NORDRHEIN_WESTFALEN,2,1,0,
Ludwigsfelde,BRANDENBURG,2,0,1,30000
Manching,BAYERN,2,0,0,
Mannheim,,2,0,0,
Neuss,NORDRHEIN_WESTFALEN,2,1,0,
Nördlingen,BAYERN,2,0,0,
Paderborn,NORDRHEIN_WESTFALEN,2,0,0,
Pforzheim,BADEN_WUERTTEMBERG,2,2,0,
Ratingen,NORDRHEIN_WESTFALEN,2,1,1,66000
"Rosenheim, Oberbayern",BAYERN,2,1,0,
Sankt Augustin,NORDRHEIN_WESTFALEN,2,0,0,
Unknown,BADEN_WUERTTEMBERG,2,1,0,
Unterföhring,BAYERN,2,0,0,
Weil der Stadt,BADEN_WUERTTEMBERG,2,1,1,50000
Wiesbaden,HESSEN,2,0,0,
