skill_key,display_name,category,postings,postings_with_text,pct_of_postings
etl,ETL / ELT,concept,341,665,51.3
python,Python,language,326,665,49.0
sql,SQL,language,319,665,48.0
azure,Azure,cloud,185,665,27.8
aws,AWS,cloud,134,665,20.2
powerbi,Power BI,bi,108,665,16.2
databricks,Databricks,platform,107,665,16.1
lakehouse,Data Lake / Lakehouse,concept,104,665,15.6
spark,Spark,processing,98,665,14.7
warehouse,Data Warehouse,concept,93,665,14.0
sap,SAP,platform,85,665,12.8
snowflake,Snowflake,warehouse,85,665,12.8
gcp,Google Cloud,cloud,83,665,12.5
dbt,dbt,transformation,70,665,10.5
kubernetes,Kubernetes,platform,67,665,10.1
docker,Docker,platform,58,665,8.7
airflow,Airflow,orchestration,57,665,8.6
java,Java,language,52,665,7.8
terraform,Terraform,platform,47,665,7.1
kafka,Kafka,streaming,46,665,6.9
fabric,Microsoft Fabric,platform,42,665,6.3
datafactory,Azure Data Factory,orchestration,35,665,5.3
postgres,PostgreSQL,database,35,665,5.3
tableau,Tableau,bi,34,665,5.1
bigquery,BigQuery,warehouse,31,665,4.7
sqlserver,SQL Server,database,25,665,3.8
dagster,Dagster,orchestration,22,665,3.3
scala,Scala,language,20,665,3.0
oracle,Oracle,database,18,665,2.7
synapse,Azure Synapse,warehouse,16,665,2.4
flink,Flink,streaming,12,665,1.8
looker,Looker,bi,11,665,1.7
mongodb,MongoDB,database,8,665,1.2
redshift,Redshift,warehouse,4,665,0.6
