skill_key,display_name,category,postings,postings_with_text,pct_of_postings
python,Python,language,226,411,55.0
sql,SQL,language,223,411,54.3
etl,ETL / ELT,concept,143,411,34.8
azure,Azure,cloud,128,411,31.1
aws,AWS,cloud,91,411,22.1
spark,Spark,processing,71,411,17.3
databricks,Databricks,platform,70,411,17.0
lakehouse,Data Lake / Lakehouse,concept,70,411,17.0
powerbi,Power BI,bi,62,411,15.1
snowflake,Snowflake,warehouse,61,411,14.8
warehouse,Data Warehouse,concept,58,411,14.1
dbt,dbt,transformation,55,411,13.4
sap,SAP,platform,55,411,13.4
kubernetes,Kubernetes,platform,50,411,12.2
airflow,Airflow,orchestration,47,411,11.4
gcp,Google Cloud,cloud,46,411,11.2
java,Java,language,39,411,9.5
terraform,Terraform,platform,37,411,9.0
docker,Docker,platform,37,411,9.0
kafka,Kafka,streaming,35,411,8.5
fabric,Microsoft Fabric,platform,29,411,7.1
postgres,PostgreSQL,database,25,411,6.1
datafactory,Azure Data Factory,orchestration,25,411,6.1
sqlserver,SQL Server,database,22,411,5.4
dagster,Dagster,orchestration,19,411,4.6
bigquery,BigQuery,warehouse,17,411,4.1
scala,Scala,language,16,411,3.9
tableau,Tableau,bi,16,411,3.9
oracle,Oracle,database,14,411,3.4
flink,Flink,streaming,10,411,2.4
synapse,Azure Synapse,warehouse,10,411,2.4
mongodb,MongoDB,database,6,411,1.5
looker,Looker,bi,5,411,1.2
redshift,Redshift,warehouse,3,411,0.7
