skill_key,display_name,category,postings_with_salary,median_salary_from,median_salary_to,min_salary_from,max_salary_to
etl,ETL / ELT,concept,6,70000,85000,50000,90000
azure,Azure,cloud,5,65000,80000,50000,90000
lakehouse,Data Lake / Lakehouse,concept,3,60000,75000,50000,85000
aws,AWS,cloud,5,60000,75000,45000,85000
python,Python,language,5,60000,75000,42000,85000
spark,Spark,processing,3,60000,75000,50000,90000
dbt,dbt,transformation,5,60000,75000,45000,85000
sql,SQL,language,6,60000,77500,45000,85000
snowflake,Snowflake,warehouse,4,52500,72500,45000,85000
powerbi,Power BI,bi,4,47500,70000,45000,90000
tableau,Tableau,bi,3,45000,70000,45000,90000
