city,region,postings,home_office_postings,postings_with_salary,median_salary_from
Berlin,BERLIN,26,4,1,70000
Hamburg,HAMBURG,23,6,2,72500
Frankfurt am Main,HESSEN,22,1,2,64500
Köln,NORDRHEIN_WESTFALEN,19,1,3,50000
München,BAYERN,18,0,1,60000
Düsseldorf,NORDRHEIN_WESTFALEN,13,1,3,70000
Dresden,SACHSEN,13,1,1,75000
Stuttgart,BADEN_WUERTTEMBERG,13,1,0,
Unknown,,10,1,1,70000
"Nürnberg, Mittelfranken",BAYERN,10,1,1,50000
"Essen, Ruhr",NORDRHEIN_WESTFALEN,9,2,0,
Donauwörth,BAYERN,8,0,3,56000
Leipzig,SACHSEN,8,0,0,
Erlangen,BAYERN,8,0,3,70000
Bonn,NORDRHEIN_WESTFALEN,6,0,0,
Duisburg,NORDRHEIN_WESTFALEN,6,0,2,62500
München,,6,0,0,
"Karlsruhe, Baden",BADEN_WUERTTEMBERG,5,0,3,70000
Burgwedel,NIEDERSACHSEN,5,0,0,
Mannheim,BADEN_WUERTTEMBERG,4,0,1,70000
Hannover,NIEDERSACHSEN,4,1,0,
"Münster, Westfalen",NORDRHEIN_WESTFALEN,4,0,0,
Osnabrück,NIEDERSACHSEN,3,1,2,59500
Berlin,,3,0,0,
Oldenburg (Oldb),NIEDERSACHSEN,3,0,1,65000
Hamburg,,3,0,0,
Bremen,BREMEN,3,0,0,
"Hemmingen, Württemberg",BADEN_WUERTTEMBERG,3,0,0,
"Eschborn, Taunus",HESSEN,3,0,0,
"Kassel, Hessen",HESSEN,3,0,0,
Oberkochen,BADEN_WUERTTEMBERG,3,0,2,70000
Erfurt,THUERINGEN,3,2,0,
"Ulm, Donau",BADEN_WUERTTEMBERG,3,0,0,
"Chemnitz, Sachsen",SACHSEN,3,0,0,
Würzburg,BAYERN,2,0,0,
Bielefeld,NORDRHEIN_WESTFALEN,2,0,1,45000
Coburg,BAYERN,2,1,0,
Coesfeld,NORDRHEIN_WESTFALEN,2,1,0,
Dortmund,NORDRHEIN_WESTFALEN,2,0,0,
Espelkamp,NORDRHEIN_WESTFALEN,2,1,0,
"Essenbach, Niederbayern",BAYERN,2,0,0,
"Gießen, Lahn",HESSEN,2,1,0,
Göttingen,NIEDERSACHSEN,2,0,0,
Kiel,SCHLESWIG_HOLSTEIN,2,0,1,35000
Leinfelden-Echterdingen,BADEN_WUERTTEMBERG,2,0,1,60000
Lemwerder,NIEDERSACHSEN,2,0,1,70000
Leverkusen,NORDRHEIN_WESTFALEN,2,1,0,
Ludwigsfelde,BRANDENBURG,2,0,1,30000
Manching,BAYERN,2,0,0,
Neuss,NORDRHEIN_WESTFALEN,2,0,0,
Nördlingen,BAYERN,2,0,0,
Pforzheim,BADEN_WUERTTEMBERG,2,1,0,
Potsdam,BRANDENBURG,2,0,0,
Ratingen,NORDRHEIN_WESTFALEN,2,1,1,66000
Sankt Augustin,NORDRHEIN_WESTFALEN,2,0,0,
Stuttgart,,2,0,0,
Unknown,BADEN_WUERTTEMBERG,2,1,0,
Unterföhring,BAYERN,2,0,0,
Weil der Stadt,BADEN_WUERTTEMBERG,2,1,1,50000
Wiesbaden,HESSEN,2,0,0,
"Augsburg, Bayern",BAYERN,2,0,1,
